mur_nom,secteur_nom,visibilité
M41,ba1,0
M167,ba1,0
M153,ba1,0
M150,ba1,0
M165,ba1,0
M168,ba1,0
M154,ba1,0
M151,ba1,0
M166,ba1,0
M169,ba1,0
M155,ba1,0
M152,ba1,0
M186,ba1,0
M118,ba1,0
M119,ba1,0
M117,ba1,0
M120,ba1,0
M42,ba1,0
M47,ba1,1
M156,ba1,0
M161,ba1,0
M127,ba1,0
M157,ba1,0
M162,ba1,0
M128,ba1,0
M158,ba1,0
M163,ba1,0
M129,ba1,0
M159,ba1,0
M164,ba1,0
M160,ba1,0
M49,ad1,1
M51,ad1,1
M170,ad1,0
M185,ad1,1
M48,ad1,1
M121,ad1,0
M173,ad1,0
M160,ad1,0
M185,ad1,1
M48,ad1,1
M54,ad1,1
M171,ad1,0
M45,ad1,0
M172,ad1,0
M46,ad1,1
M104,ad1,1
M124,ad1,1
M11,cu1,1
M22,cu1,1
M57,cu1,1
M50,cu1,1
M56,cu1,1
M55,cu1,1
M53,cu1,1
M52,cu1,1
M50,cu1,1
M58,cu1,1
M59,cu1,1
M60,cu1,1
M44,cu1,0
M11,cu2,1
M22,cu2,1
M50,cu2,1
M61,cu2,1
M62,cu2,1
M63,cu2,1
M64,cu2,1
M65,cu2,1
M11,cu3,1
M22,cu3,1
M130,cu3,0
M70,cu3,1
M40,cu3,1
M66,cu3,1
M67,cu3,1
M122,cu3,1
M68,cu3,1
M69,cu3,1
M123,cu3,0
M11,cu4,0
M23,cu4,0
M188,cu4,1
M187,cu4,1
M71,cu4,1
M11,cu5,1
M22,cu5,1
M50,cu5,1
M77,cu5,1
M21,cu5,1
M73,cu5,1
M74,cu5,1
M25,cu5,1
M75,cu5,1
M76,cu5,1
M26,cu5,1
M72,cu5,1
M11,cu6,1
M22,cu6,1
M50,cu6,1
M87,cu6,1
M86,cu6,1
M85,cu6,1
M84,cu6,1
M79,cu6,1
M78,cu6,1
M80,cu6,1
M81,cu6,1
M28,cu6,1
M82,cu6,1
M83,cu6,1
M24,ba2,0
M35,ad2,0
M34,ad2,0
M91,ad2,1
M93,ad2,1
M90,ad2,1
M92,ad2,1
M92,ba2,1
M89,ba2,1
M116,ba2,0
M88,ba2,1
M174,ba2,1
M175,ba2,1
M97,ba2,1
M112,ba2,1
M98,ba2,1
M102,ba2,1
M101,ba2,1
M115,ba2,0
M114,ba2,0
M183,ba2,0
M180,ba2,0
M184,ba2,0
M8,ad2,1
M10,ad2,1
M94,ad2,1
M95,ad2,1
M31,ad2,1
M31,ba2,1
M32,ad2,1
M32,ba2,1
M33,ba2,1
M176,ba2,1
M99,ba2,1
M96,ba2,1
M177,ba2,1
M100,ba2,0
M1,ba2,1
M178,ba2,0
M182,ba2,0
M181,ba2,0
M179,ba2,0
M20,ba2,1
M39,or0,0
M111,or0,0
M36,or0,0
M103,or0,1
M105,or0,1
M106,or0,1
M107,or0,1
M108,or0,1
M109,or0,1
M110,or0,1
M30,ca1,1
M136,ca1,0
M137,ca1,1
M138,ca1,1
